URN,LA,ESTAB,NOR,NORG,NORB,PNORG,PNORB,TSENELSE,PSENELSE,TSENELK,PSENELK,NUMEAL,NUMENGFL,NUMUNCFL,PNUMEAL,PNUMENGFL,PNUMUNCFL,PNUMFSM,NUMFSMEVER,PNUMFSMEVER
108893,801,1002,154,68,86,44.2,55.8,0,0.0,18,11.7,NA,NA,NA,NA,NA,NA,0,NA,NA
108894,801,1003,154,74,80,48.1,51.9,1,0.6,11,7.1,NA,NA,NA,NA,NA,NA,0,NA,NA
108895,801,1004,129,65,64,50.4,49.6,0,0.0,16,12.4,NA,NA,NA,NA,NA,NA,0,NA,NA
108896,801,1005,208,92,116,44.2,55.8,19,9.1,29,13.9,NA,NA,NA,NA,NA,NA,58.8,NA,NA
108898,801,1007,99,51,48,51.5,48.5,0,0.0,17,17.2,NA,NA,NA,NA,NA,NA,0,NA,NA
108900,801,1009,103,47,56,45.6,54.4,1,1.0,13,12.6,NA,NA,NA,NA,NA,NA,24.2,NA,NA
108901,801,1010,120,50,70,41.7,58.3,0,0.0,15,12.5,NA,NA,NA,NA,NA,NA,13.3,NA,NA
108902,801,1011,151,75,76,49.7,50.3,0,0.0,23,15.2,NA,NA,NA,NA,NA,NA,0,NA,NA
134241,801,1012,123,61,62,49.6,50.4,0,0.0,13,10.6,NA,NA,NA,NA,NA,NA,0,NA,NA
108904,801,1014,95,52,43,54.7,45.3,1,1.1,8,8.4,NA,NA,NA,NA,NA,NA,0,NA,NA
108905,801,1015,139,70,69,50.4,49.6,0,0.0,8,5.8,NA,NA,NA,NA,NA,NA,0,NA,NA
108906,801,1016,132,67,65,50.8,49.2,0,0.0,16,12.1,NA,NA,NA,NA,NA,NA,52.9,NA,NA
108908,801,1100,44,44,0,100,0,0,0.0,5,11.4,1,43,0,2.3,97.7,0,100,1,100
133689,801,1101,17,7,10,41.2,58.8,5,29.4,11,64.7,0,17,0,0,100,0,50,10,71.4
133160,801,1102,35,13,22,37.1,62.9,4,11.4,31,88.6,1,34,0,2.9,97.1,0,42.9,27,77.1
134536,801,1104,36,6,30,16.7,83.3,1,2.8,26,72.2,1,35,0,2.8,97.2,0,52.8,31,86.1
108910,801,2001,507,245,262,48.3,51.7,5,1.0,63,12.4,49,399,0,10.9,89.1,0,5.1,55,10.8
131493,801,2002,467,225,242,48.2,51.8,3,0.6,52,11.1,13,336,0,3.7,96.3,0,11.8,104,25.6
108911,801,2003,179,81,98,45.3,54.7,0,0.0,13,7.3,10,109,0,8.4,91.6,0,3.4,10,5.6
108912,801,2004,541,278,263,51.4,48.6,6,1.1,44,8.1,17,434,0,3.8,96.2,0,5.5,46,8.5
108913,801,2005,199,94,105,47.2,52.8,1,0.5,24,12.1,14,155,0,8.3,91.7,0,12.1,36,18.1
108914,801,2006,285,142,143,49.8,50.2,1,0.4,56,19.6,25,202,0,11,89,0,20.4,106,37.2
131496,801,2010,218,100,118,45.9,54.1,1,0.5,32,14.7,46,115,1,28.4,71,0.6,28.6,97,51.1
138655,801,2013,538,265,273,49.3,50.7,9,1.7,64,11.9,150,278,0,35,65,0,12.9,114,22.9
137212,801,2017,485,257,228,53,47,3,0.6,37,7.6,22,343,0,6,94,0,12,84,19.8
108919,801,2018,200,105,95,52.5,47.5,1,0.5,81,40.5,16,184,0,8,92,0,23.5,85,42.5
131501,801,2019,223,111,112,49.8,50.2,3,1.3,31,13.9,67,101,0,39.9,60.1,0,19.3,64,28.7
