URN,LONDON/NON-LONDON,MEDIAN,PUPILS,FSM,FSMBAND,GRANTFUNDING,SELFGENERATEDINCOME,TOTALINCOME,TEACHINGSTAFF,SUPPLYTEACHERS,EDUCATIONSUPPORTSTAFF,PREMISES,BACKOFFICE,CATERING,OTHERSTAFF,ENERGY,LEARNINGRESOURCES,ICT,BOUGHTINPROFESSIONALSERVICES,OTHER,TOTALEXPENDITURE,T1112CAT1,T1213CAT1,T1314CAT1,T1415CAT1,DCAT1,T1112CAT2,T1213CAT2,T1314CAT2,T1415CAT2,DCAT2,T1112CAT3,T1213CAT3,T1314CAT3,T1415CAT3,DCAT3,T1112CAT4,T1213CAT4,T1314CAT4,T1415CAT4,DCAT4,T1112CAT5,T1213CAT5,T1314CAT5,T1415CAT5,DCAT5,PGRANTFUNDING,PSELFGENERATEDINCOME,PTOTALINCOME,PTEACHINGSTAFF,PSUPPLYTEACHERS,PEDUCATIONSUPPORTSTAFF,PPREMISES,PBACKOFFICE,PCATERING,POTHERSTAFF,PENERGY,PLEARNINGRESOURCES,PICT,PBOUGHTINPROFESSIONALSERVICES,POTHER,PTOTALEXPENDITURE,PT1112CAT1,PT1213CAT1,PT1314CAT1,PT1415CAT1,PDCAT1,PT1112CAT2,PT1213CAT2,PT1314CAT2,PT1415CAT2,PDCAT2,PT1112CAT3,PT1213CAT3,PT1314CAT3,PT1415CAT3,PDCAT3,PT1112CAT4,PT1213CAT4,PT1314CAT4,PT1415CAT4,PDCAT4,PT1112CAT5,PT1213CAT5,PT1314CAT5,PT1415CAT5,PDCAT5,T1112CAT1LA,T1213CAT1LA,T1314CAT1LA,T1415CAT1LA,T1112CAT2LA,T1213CAT2LA,T1314CAT2LA,T1415CAT2LA,T1112CAT3LA,T1213CAT3LA,T1314CAT3LA,T1415CAT3LA,T1112CAT4LA,T1213CAT4LA,T1314CAT4LA,T1415CAT4LA,T1112CAT5LA,T1213CAT5LA,T1314CAT5LA,T1415CAT5LA,PT1112CAT1LA,PT1213CAT1LA,PT1314CAT1LA,PT1415CAT1LA,PT1112CAT2LA,PT1213CAT2LA,PT1314CAT2LA,PT1415CAT2LA,PT1112CAT3LA,PT1213CAT3LA,PT1314CAT3LA,PT1415CAT3LA,PT1112CAT4LA,PT1213CAT4LA,PT1314CAT4LA,PT1415CAT4LA,PT1112CAT5LA,PT1213CAT5LA,PT1314CAT5LA,PT1415CAT5LA
108910,Non-London,Primary,507,5.1,LOW,5801,148,5949,2909,131,840,340,527,152,142,71,256,29,31,128,5556,2721,2649,2555,3749,1028,93,116,101,131,38,373,346,365,527,154,56,86,72,71,15,4246,4041,3723,5556,1310,98%,2%,,52%,2%,15%,6%,9%,3%,3%,1%,5%,1%,1%,2%,,64%,66%,69%,67%,3%,2%,3%,3%,2%,0%,9%,9%,10%,9%,0%,1%,2%,2%,1%,0%,100%,100%,100%,100%,0%,2472,2531,2599,2730,141,158,133,140,274,267,330,333,49,59,52,51,3595,3746,3879,4405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
108912,Non-London,Primary,541,5.5,LOW,3779,131,3910,1780,126,465,268,264,116,152,48,220,129,188,64,3819,2148,2279,2247,2245,97,165,208,144,126,-39,203,221,209,264,61,46,60,50,48,2,3373,3703,3412,3819,446,97%,3%,,47%,3%,12%,7%,7%,3%,4%,1%,6%,3%,5%,2%,,64%,62%,66%,59%,-5%,5%,6%,4%,3%,-2%,6%,6%,6%,7%,1%,1%,2%,1%,1%,0%,100%,100%,100%,100%,0%,2472,2531,2599,2730,141,158,133,140,274,267,330,333,49,59,52,51,3595,3746,3879,4405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
108913,Non-London,Primary,199,12.1,LOW,4573,97,4670,1777,291,638,794,334,116,100,57,321,92,32,51,4601,2555,2541,2516,2415,-140,118,98,122,291,173,309,299,323,334,25,59,95,29,57,-2,3644,3737,3902,4601,957,98%,2%,,39%,6%,14%,17%,7%,3%,2%,1%,7%,2%,1%,1%,,70%,68%,64%,52%,-18%,3%,3%,3%,6%,3%,8%,8%,8%,7%,-1%,2%,3%,1%,1%,-1%,100%,100%,100%,100%,0%,2472,2531,2599,2730,141,158,133,140,274,267,330,333,49,59,52,51,3595,3746,3879,4405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
108914,Non-London,Primary,284,20.4,MEDIUM,5175,91,5266,2268,114,1028,449,411,152,237,86,225,4,22,80,5075,2665,2780,3058,3296,631,121,120,138,114,-7,329,341,341,411,82,51,67,60,86,35,3951,4252,4538,5075,1124,98%,2%,,45%,2%,20%,9%,8%,3%,5%,2%,4%,0%,0%,2%,,67%,65%,67%,65%,-2%,3%,3%,3%,2%,-1%,8%,8%,8%,8%,0%,1%,2%,1%,2%,1%,100%,100%,100%,100%,0%,2750,2760,2955,3266,174,147,149,122,275,277,307,390,52,60,59,60,4106,4202,4418,5106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
108919,Non-London,Primary,200,23.5,MEDIUM,4832,78,4910,2284,82,467,393,574,69,124,94,177,105,2,51,4422,2637,2711,2505,2751,114,256,152,212,82,-174,491,438,549,574,83,95,120,93,94,-1,4569,4473,4134,4422,-147,98%,2%,,52%,2%,11%,9%,13%,2%,3%,2%,4%,2%,0%,1%,,58%,61%,61%,62%,4%,6%,3%,5%,2%,-4%,11%,10%,13%,13%,2%,2%,3%,2%,2%,0%,100%,100%,100%,100%,0%,2750,2760,2955,3266,174,147,149,122,275,277,307,390,52,60,59,60,4106,4202,4418,5106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
108920,Non-London,Primary,232,16.8,LOW,4844,30,4874,2280,235,665,261,427,29,170,51,335,52,88,11,4604,2421,2524,2842,2945,524,165,223,324,235,70,335,535,419,427,92,46,51,51,51,5,3595,4176,4134,4604,1009,99%,1%,,50%,5%,14%,6%,9%,1%,4%,1%,7%,1%,2%,0%,,67%,60%,69%,64%,-3%,5%,5%,8%,5%,0%,9%,13%,10%,9%,0%,1%,1%,1%,1%,0%,100%,100%,100%,100%,0%,2472,2531,2599,2730,141,158,133,140,274,267,330,333,49,59,52,51,3595,3746,3879,4405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
108921,Non-London,Primary,216,15.7,LOW,4960,57,5017,2274,238,788,246,453,195,262,47,127,31,11,86,4758,2569,2834,3000,3062,493,295,256,254,238,-57,266,353,382,453,187,43,50,49,47,4,3778,4211,4456,4758,980,99%,1%,,48%,5%,17%,5%,10%,4%,6%,1%,3%,1%,0%,2%,,68%,67%,67%,64%,-4%,8%,6%,6%,5%,-3%,7%,8%,9%,10%,3%,1%,1%,1%,1%,0%,100%,100%,100%,100%,0%,2750,2760,2599,2730,174,147,133,140,275,277,330,333,52,60,52,51,4106,4202,3879,4405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
108927,Non-London,Primary,341,27.6,MEDIUM,5756,189,5944,2230,64,1172,481,374,159,101,0,291,178,230,48,5327,2775,2910,2813,3402,627,255,352,245,64,-191,347,313,460,374,27,64,47,75,0,-64,4402,4525,4570,5327,925,97%,3%,,42%,1%,22%,9%,7%,3%,2%,0%,5%,3%,4%,1%,,63%,64%,62%,64%,1%,6%,8%,5%,1%,-5%,8%,7%,10%,7%,-1%,1%,1%,2%,0%,-1%,100%,100%,100%,100%,0%,2750,2760,2955,3266,174,147,149,122,275,277,307,390,52,60,59,60,4106,4202,4418,5106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
108931,Non-London,Primary,355,24.8,MEDIUM,5036,125,5161,2060,177,1120,388,340,116,234,68,280,22,120,43,4966,2743,2745,3032,3180,437,247,155,214,177,-70,275,272,272,340,65,50,51,34,68,18,4278,4090,4511,4966,688,98%,2%,,41%,4%,23%,8%,7%,2%,5%,1%,6%,0%,2%,1%,,64%,67%,67%,64%,0%,6%,4%,5%,4%,-2%,6%,7%,6%,7%,1%,1%,1%,1%,1%,0%,100%,100%,100%,100%,0%,2750,2760,2955,3266,174,147,149,122,275,277,307,390,52,60,59,60,4106,4202,4418,5106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
108934,Non-London,Primary,267,1.9,LOW,4171,216,4387,1856,144,747,354,325,231,187,68,156,27,32,40,4167,2478,2459,2538,2603,125,182,158,92,144,-38,231,226,286,325,94,46,77,77,68,22,3637,3625,3533,4167,530,95%,5%,,45%,3%,18%,8%,8%,6%,4%,2%,4%,1%,1%,1%,,68%,68%,72%,62%,-6%,5%,4%,3%,3%,-2%,6%,6%,8%,8%,2%,1%,2%,2%,2%,1%,100%,100%,100%,100%,0%,2472,2531,2599,2730,141,158,133,140,274,267,330,333,49,59,52,51,3595,3746,3879,4405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
