RECTYPE,ALPHAIND,REGION,LASORT,LEA,ESTAB,URN,SCHNAME_AC,SCHNAME,ADDRESS1,ADDRESS2,ADDRESS3,TOWN,PCODE,TELNUM,CONTFLAG,NFTYPE,RELDENOM,ADMPOL,GENDER1618,FEEDER,AGERANGE,ICLOSE,TABKS2,TAB15,EXAMCONF,DUMMY1,TPUP1618,TALLPUPA,TALLPUP_ALEVA,TALLPUP_ACADA,TALLPUP_VQA,TALLPUP_ALEV_FTEA,TALLPUP_ACAD_FTEA,TALLPUP_VQ_FTEA,APSFTE_ALEVA,TALLPPE_ALEVA,APSFTE_ACADA,TALLPPE_ACADA,APSFTE_VQA,TALLPPE_VQA,PTPASS1LV3_ALEVCOH,PTPASS2LV3_ALEVCOH,PTPASS3LV3_ALEVCOH,PTPASS1LV3_ACADCOH,PTPASS2LV3_ACADCOH,PTPASS3LV3_ACADCOH,PTPASS1LV3_VQCOH,PTPASS2LV3_VQCOH,PTPASS3LV3_VQCOH,PTGRADEAAB2_ALEV,TALLPPEGRD_ALEVA,TALLPPEGRD_ACADA,TALLPPEGRD_VQA,VA_INS_ALEV,LCI_INS_ALEV,UCI_INS_ALEV,NU_AIMS_INS_ALEV,VA_INS_AC,LCI_INS_AC,UCI_INS_AC,NU_AIMS_INS_AC,VA_INS_VQ,LCI_INS_VQ,UCI_INS_VQ,NU_AIMS_INS_VQ
1,2756,45,2,801,4030,109278,,Ashton Park School,Blackmoor's Lane,Bower Ashton,,Bristol,BS3 2JL,0117 3772777,0,FD,None,COMP,MIXED,0,11-18,0,0,1,1,,151,64,52,52,31,40.3,42.5,21.5,638.8,185.7,639.9,185.7,754.3,224.2,100%,73%,52%,100%,73%,52%,100%,84%,45%,0%,D+,D+,Dist,-0.19,-0.32,-0.07,161,-0.23,-0.35,-0.11,187,-0.10,-0.37,0.18,37
1,3270,45,2,801,6003,109337,,Badminton School,Westbury Road,Westbury-on-Trym,,Bristol,BS9 3BA,0117 9055200,0,IND,None,,GIRLS,0,4-18,0,0,1,1,,111,60,60,60,NE,60,60,NE,1005.5,257.8,1005.9,257.9,NE,NE,100%,100%,98%,100%,100%,98%,NE,NE,NE,63%,A-,A-,NE,0.13,0.03,0.24,198,0.13,0.03,0.24,198,NA,NA,NA,NA
1,7454,45,2,801,4032,109280,,Brislington Enterprise College,Hungerford Road,Brislington,,Bristol,BS4 5EY,0117 3772055,0,FD,Does not apply,COMP,MIXED,0,11-18,1,0,1,0,,65,7,NE,NE,7,NE,NE,7,NE,NE,NE,NE,242.1,169.5,NE,NE,NE,NE,NE,NE,100%,29%,0%,NE,NE,NE,Pass,NA,NA,NA,NA,NA,NA,NA,NA,-0.78,-1.26,-0.31,11
1,7458,45,2,801,6907,135300,,Bristol Brunel Academy,Speedwell Road,Speedwell,,Bristol,BS15 1NU,0117 3772700,0,AC,Does not apply,COMP,MIXED,0,11-19,0,0,1,1,,89,37,27,27,17,23.8,23.8,13.2,669.9,197.7,669.9,197.7,638.9,231.8,100%,89%,59%,100%,89%,59%,100%,71%,35%,4%,C-,C-,Dist+,0.04,-0.11,0.19,96,0.04,-0.11,0.19,96,0.35,0.06,0.63,32
1,7460,45,2,801,6908,135575,,Bristol Cathedral Choir School,College Square,,,Bristol,BS1 5TS,0117 3535000,0,AC,Church of England,COMP,MIXED,0,11-18,0,0,1,0,,187,79,79,79,NE,78.8,79,NE,760.7,225.8,760.9,225.9,NE,NE,100%,100%,94%,100%,100%,94%,NE,NE,NE,15%,B-,B-,NE,0.10,0.00,0.19,294,0.10,0.00,0.19,296,NA,NA,NA,NA
1,7468,45,2,801,6013,109369,,Bristol Grammar School,University Road,,,Bristol,BS8 1SR,0117 9736006,0,IND,None,,MIXED,0,4-18,0,0,1,0,,288,138,138,138,NE,136.9,138,NE,900,251.5,901.6,251.8,NE,NE,100%,100%,99%,100%,100%,99%,NE,NE,NE,45%,B+,B+,NE,0.06,-0.02,0.13,545,0.06,-0.01,0.13,558,NA,NA,NA,NA
1,7474,45,2,801,6913,135959,,Bristol Metropolitan Academy,Snowdon Road,Fishponds,,Bristol,BS16 2HD,0117 3772071,0,AC,Does not apply,COMP,MIXED,0,11-19,0,0,1,1,,46,12,2,2,11,1.5,1.5,10.5,SUPP,SUPP,SUPP,SUPP,465.1,194.7,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,100%,100%,18%,SUPP,SUPP,SUPP,Merit,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,-0.60,-0.95,-0.25,25
1,11688,45,2,801,6905,134221,,The City Academy Bristol,Russell Town Avenue,,,Bristol,BS5 9JH,0117 9413800,0,AC,Does not apply,COMP,MIXED,0,11-18,0,0,1,0,,204,78,47,47,50,37.6,37.6,40.4,599.5,177.6,599.5,177.6,596.2,204.3,98%,77%,47%,98%,77%,47%,100%,72%,42%,2%,D,D,Merit+,-0.25,-0.38,-0.13,151,-0.25,-0.38,-0.13,151,-0.38,-0.58,-0.18,73
1,11716,45,2,801,8008,131094,,City of Bristol College,St George's Road,Anchor Road,,Bristol,BS1 5UA,0117 3125000,0,General Further Education College,Does not apply,NA,MIXED,0,16+,0,0,0,0,,3772,535,109,109,430,106.1,106.2,428.8,643.1,195.6,643.3,195.6,453.3,198.9,100%,94%,74%,100%,94%,74%,100%,57%,36%,1%,C-,C-,Merit,-0.02,-0.11,0.06,400,-0.02,-0.11,0.06,401,-0.47,-0.55,-0.38,372
1,12074,45,2,801,6000,109334,,Clifton College,32 College Road,Clifton,,Bristol,BS8 3JH,0117 3157000,0,IND,Church of England,,MIXED,0,3-19,0,0,1,0,,317,148,148,148,NE,148,148,NE,850.4,246.6,850.4,246.6,NE,NE,100%,97%,86%,100%,97%,86%,NE,NE,NE,36%,B+,B+,NE,0.00,-0.07,0.08,474,0.00,-0.07,0.08,474,NA,NA,NA,NA
