URN,COHORT,OVERALL,FEC,INDEP,OTHERFE,SSF,SFC,SPI,AP_PRU,SPECIAL,APPREN,HE,COMBO,KNOWN,UNKNOWN,OVERALLPER,FECPER,INDEPPER,OTHERFEPER,SSFPER,SFCPER,SPIPER,AP_PRUPER,SPECIALPER,APPRENPER,HEPER,COMBOPER,KNOWNPER,UNKNOWNPER
138448,180,140,100,SUPP,5,30,5,0,SUPP,0,10,0,0,25,15,77%,54%,SUPP,3%,17%,2%,0%,SUPP,0%,6%,0%,0%,13%,9%
109278,190,170,60,0,5,90,10,SUPP,0,0,10,0,SUPP,20,SUPP,88%,33%,0%,3%,47%,5%,SUPP,0%,0%,5%,0%,SUPP,11%,SUPP
138217,170,130,100,SUPP,10,20,0,0,SUPP,SUPP,10,0,0,25,15,76%,57%,SUPP,6%,12%,0%,0%,SUPP,SUPP,6%,0%,0%,14%,9%
138204,200,170,100,SUPP,15,35,15,0,0,0,20,0,0,25,15,82%,50%,SUPP,8%,16%,7%,0%,0%,0%,9%,0%,0%,11%,6%
137440,180,160,25,SUPP,SUPP,130,SUPP,0,0,0,SUPP,0,SUPP,10,5,92%,15%,SUPP,SUPP,73%,SUPP,0%,0%,0%,SUPP,0%,SUPP,6%,2%
141705,160,130,55,0,0,55,20,0,0,SUPP,SUPP,0,0,15,15,83%,34%,0%,0%,35%,13%,0%,0%,SUPP,SUPP,0%,0%,9%,8%
137627,170,160,50,5,SUPP,45,55,0,0,0,5,0,0,5,SUPP,95%,30%,3%,SUPP,28%,33%,0%,0%,0%,2%,0%,0%,4%,SUPP
109327,210,210,50,SUPP,SUPP,140,15,0,0,0,5,0,SUPP,5,5,97%,22%,SUPP,SUPP,66%,6%,0%,0%,0%,1%,0%,SUPP,2%,1%
138855,190,180,20,5,5,155,SUPP,SUPP,0,0,5,0,0,5,5,96%,9%,2%,2%,82%,SUPP,SUPP,0%,0%,3%,0%,0%,3%,2%
109331,150,140,65,0,10,5,60,0,0,0,15,0,SUPP,10,SUPP,94%,44%,0%,5%,4%,40%,0%,0%,0%,10%,0%,SUPP,5%,SUPP
134221,190,160,50,5,10,75,15,0,0,0,10,0,SUPP,15,10,86%,28%,2%,6%,41%,9%,0%,0%,0%,5%,0%,SUPP,8%,5%
135300,210,180,70,SUPP,15,85,15,0,0,0,10,SUPP,0,20,5,88%,33%,SUPP,7%,40%,7%,0%,0%,0%,6%,SUPP,0%,10%,2%
135575,110,100,15,0,SUPP,80,5,0,0,0,5,0,SUPP,5,SUPP,95%,14%,0%,SUPP,72%,6%,0%,0%,0%,4%,0%,SUPP,3%,SUPP
135581,110,110,10,5,SUPP,85,SUPP,0,0,0,5,0,0,SUPP,0,98%,11%,4%,SUPP,80%,SUPP,0%,0%,0%,4%,0%,0%,SUPP,0%
135597,120,100,55,0,5,30,5,0,SUPP,0,5,0,0,15,5,81%,44%,0%,6%,26%,5%,0%,SUPP,0%,5%,0%,0%,14%,5%
135663,90,70,25,0,SUPP,25,10,0,0,0,5,0,5,10,5,78%,28%,0%,SUPP,29%,13%,0%,0%,0%,6%,0%,6%,14%,8%
135671,100,80,70,0,5,SUPP,0,0,0,0,10,0,0,15,5,76%,69%,0%,5%,SUPP,0%,0%,0%,0%,9%,0%,0%,17%,7%
135959,110,90,30,SUPP,5,45,15,0,0,0,SUPP,0,0,10,5,85%,26%,SUPP,5%,41%,12%,0%,0%,0%,SUPP,0%,0%,11%,4%
109385,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
132239,20,10,10,SUPP,SUPP,0,0,0,SUPP,0,0,0,0,5,SUPP,68%,53%,SUPP,SUPP,0%,0%,0%,SUPP,0%,0%,0%,0%,21%,SUPP
109386,30,20,15,0,0,0,0,0,0,5,0,0,0,0,SUPP,96%,68%,0%,0%,0%,0%,0%,0%,28%,0%,0%,0%,0%,SUPP
109391,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
109392,30,20,10,0,0,0,0,0,0,10,0,0,0,5,5,72%,31%,0%,0%,0%,0%,0%,0%,41%,0%,0%,0%,10%,17%
109393,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
109394,10,4,SUPP,0,0,0,0,SUPP,0,SUPP,0,0,0,SUPP,SUPP,57%,SUPP,0%,0%,0%,0%,SUPP,0%,SUPP,0%,0%,0%,SUPP,SUPP
109410,10,10,0,0,0,0,0,0,0,10,0,0,0,0,0,100%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%
NAT,571810,515280,195480,2200,19950,219450,70900,180,170,5510,26350,50,1550,37240,19290,90%,34%,SP,3%,38%,12%,SP,SP,1%,5%,SP,SP,7%,3%
