URN,LA,ESTAB,LAESTAB,SCHNAME,STREET,LOCALITY,ADDRESS3,TOWN,POSTCODE,TELNUM,ICLOSE,OPENDATE,CLOSEDATE,ISNEW,MINORGROUP,NFTYPE,ISPRIMARY,ISSECONDARY,ISPOST16,AGEL,AGEH,GENDER,SFGENDER,RELDENOM,ADMPOL,NEWACFLAG,SPONSORNAME
108910,801,2001,8012001,Brunel Field Primary School,Arthur Milton Street,,,Bristol,BS7 9JT,0117 3532471,1,,,0,Maintained School,Community School,1,0,0,4,11,Mixed,Mixed,Does not apply,Not applicable,6,
108911,801,2003,8012003,Ashley Down Primary School,Downend Road,Horfield,,Bristol,BS7 9PD,0117 3772179,1,,,0,Maintained School,Community School,1,0,0,5,11,Mixed,Mixed,Does not apply,Not applicable,6,
108912,801,2004,8012004,Ashton Gate Primary School,Ashton Gate Road,,,Bristol,BS3 1SZ,0117 9030236,1,,,0,Maintained School,Community School,1,0,0,4,11,Mixed,Mixed,Does not apply,Not applicable,6,
108913,801,2005,8012005,Ashton Vale Primary School,Avebury Road,Ashton Vale,,Bristol,BS3 2QG,0117 9030383,1,,,0,Maintained School,Foundation School,1,0,0,4,11,Mixed,Mixed,,Not applicable,6,
108914,801,2006,8012006,Avon Primary School,Barracks Lane,Shirehampton,,Bristol,BS11 9NG,0117 9030446,1,,,0,Maintained School,Community School,1,0,0,4,11,Mixed,Mixed,Does not apply,Not applicable,6,
108919,801,2018,8012018,Broomhill Junior School,Allison Road,Brislington,,Bristol,BS4 4NZ,0117 9775120,1,,,0,Maintained School,Community School,1,0,0,7,11,Mixed,Mixed,Does not apply,Not applicable,6,
108920,801,2020,8012020,Chester Park Junior School,Ridgeway Road,Fishponds,,Bristol,BS16 3SY,0117 3773365,1,,,0,Maintained School,Community School,1,0,0,7,11,Mixed,Mixed,Does not apply,Not applicable,6,
108921,801,2021,8012021,Chester Park Infant School,Lodge Causeway,Fishponds,,Bristol,BS16 3QG,0117 3773047,1,,,0,Maintained School,Community School,1,0,0,5,7,Mixed,Mixed,Does not apply,Not applicable,6,
108927,801,2033,8012033,Filton Avenue Junior School,Lockleaze Road,Horfield,,Bristol,BS7 9RP,0117 9030305,2,,31/08/2015,0,Maintained School,Community School,1,0,0,7,11,Mixed,Mixed,Does not apply,Not applicable,2,
108931,801,2037,8012037,Glenfrome Primary School,Cottisford Road,Eastville,,Bristol,BS5 6TY,0117 3772247,1,,,0,Maintained School,Community School,1,0,0,4,11,Mixed,Mixed,Does not apply,Not applicable,6,
